role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
C;Gyasi;Empoli;29;5.66;5.69;1;0;0;0;0;0;2;9;0.0;0.0;2023-2024;0;2024
C;Volpato;Sassuolo;17;5.85;6.0;1;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Blin;Lecce;28;5.79;5.75;0;0;0;0;0;0;1;4;0.0;0.0;2023-2024;0;2024
C;Bondo;Monza;25;5.84;5.78;1;0;0;0;0;0;0;9;0.0;0.0;2023-2024;0;2024
C;Fazzini;Empoli;25;5.92;5.96;1;0;0;0;0;0;1;6;0.0;0.0;2023-2024;0;2024
C;Sulemana I.;Cagliari;19;5.89;6.13;2;0;0;0;0;0;0;4;0.0;0.0;2023-2024;0;2024
C;Boloca;Sassuolo;30;5.85;5.82;1;0;0;0;0;0;0;6;1.0;0.0;2023-2024;0;2024
C;Buchanan;Inter;7;6.07;6.5;1;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Mitrovic S.;Verona;10;5.9;5.9;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Saponara;Verona;10;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Cataldi;Lazio;22;5.98;5.95;1;0;0;0;0;0;0;8;0.0;0.0;2023-2024;0;2024
C;Deiola;Cagliari;22;5.7;5.59;1;0;0;0;0;0;0;7;0.0;1.0;2023-2024;0;2024
C;Jankto;Cagliari;16;5.84;6.16;1;0;0;0;0;0;2;0;0.0;0.0;2023-2024;0;2024
C;Linetty;Torino;26;5.92;5.69;0;0;0;0;0;0;0;12;0.0;0.0;2023-2024;0;2024
C;Vignato;Salernitana;7;6.0;6.07;0;0;0;0;0;0;1;1;0.0;0.0;2023-2024;0;2024
C;Traore' Hj.;Napoli;8;5.81;5.75;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Weah;Juventus;25;5.92;5.86;0;0;0;0;0;0;1;5;0.0;0.0;2023-2024;0;2024
C;Tameze;Torino;28;5.79;5.73;0;0;0;0;0;0;2;6;1.0;0.0;2023-2024;0;2024
C;Musah;Milan;25;5.92;5.86;0;0;0;0;0;0;1;5;0.0;0.0;2023-2024;0;2024
C;Urbanski;Bologna;18;5.92;5.83;0;0;0;0;0;0;0;3;0.0;0.0;2023-2024;0;2024
C;Maleh;Empoli;34;5.79;5.66;0;0;0;0;0;0;1;11;0.0;0.0;2023-2024;0;2024
C;Hongla;Verona;14;5.82;5.82;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Coulibaly L.;Salernitana;27;5.72;5.65;0;0;0;0;0;0;0;5;0.0;0.0;2023-2024;0;2024
C;Zerbin;Monza;16;5.78;5.78;0;0;0;0;0;0;1;0;1.0;0.0;2023-2024;0;2024
C;Barrenechea;Frosinone;35;5.84;5.73;0;0;0;0;0;0;1;10;0.0;0.0;2023-2024;0;2024
C;Rafia;Lecce;24;5.92;5.88;1;0;0;0;0;0;0;4;0.0;1.0;2023-2024;0;2024
C;Ramadani;Lecce;34;5.82;5.72;1;0;0;0;0;0;0;13;0.0;0.0;2023-2024;0;2024
