role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore
C;Kurtic;Parma;34;5.75;6.03;4;0;0;0;0;0;0;5;0.0;0.0;2020-2021;0
C;Allan;Napoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Zajc;Genoa;31;5.89;6.02;1;0;0;0;0;0;3;4;0.0;0.0;2020-2021;0
C;Eysseric;Fiorentina;14;5.89;6.25;2;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Vidal;Inter;20;6.05;6.12;1;0;0;0;0;0;0;3;0.0;0.0;2020-2021;0
C;Vecino;Inter;4;6.38;7.38;1;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Perotti;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Rincon;Torino;36;5.86;5.83;1;0;0;0;0;0;1;8;1.0;0.0;2020-2021;0
C;Verdi;Torino;32;5.75;5.91;1;0;0;0;0;0;5;6;0.0;0.0;2020-2021;0
C;Molina S.;Crotone;29;5.84;5.93;1;0;0;0;0;0;2;1;0.0;1.0;2020-2021;0
C;Bentancur;Juventus;32;5.95;5.92;0;0;0;0;0;0;3;6;1.0;0.0;2020-2021;0
C;Berenguer;Torino;2;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Ramirez;Sampdoria;23;5.89;5.91;0;0;0;0;0;0;3;5;0.0;0.0;2020-2021;0
C;Bakayoko;Napoli;26;5.96;6.08;2;0;0;0;0;0;0;4;1.0;0.0;2020-2021;0
C;Zaniolo;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Elmas;Napoli;21;5.88;6.17;2;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Lopez M.;Sassuolo;28;5.86;5.95;2;0;0;0;0;0;0;7;0.0;0.0;2020-2021;0
C;Pereiro;Cagliari;6;6.0;7.17;2;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Tameze;Verona;32;5.92;5.92;1;0;0;0;0;0;0;6;0.0;0.0;2020-2021;0
C;Ricci M.;Spezia;28;6.0;5.95;0;0;0;0;0;0;1;5;0.0;0.0;2020-2021;0
C;Arslan;Udinese;29;5.91;6.07;3;0;0;0;0;0;0;9;0.0;0.0;2020-2021;0
C;Hetemaj;Benevento;29;5.84;5.83;0;0;0;0;0;0;2;5;0.0;0.0;2020-2021;0
C;Saponara;Spezia;8;6.19;6.81;2;0;0;0;0;0;0;0;1.0;0.0;2020-2021;0
C;Brugman;Parma;24;6.0;6.02;1;0;0;0;0;0;1;7;0.0;0.0;2020-2021;0
C;Pulgar;Fiorentina;29;5.83;5.9;1;0;0;0;0;0;3;8;0.0;0.0;2020-2021;0
C;Marusic;Lazio;36;5.79;5.94;2;0;0;0;0;0;3;3;0.0;1.0;2020-2021;0
C;Ekdal;Sampdoria;30;5.88;5.97;2;0;0;0;0;0;1;9;0.0;0.0;2020-2021;0
C;Walace;Udinese;28;5.91;5.84;0;0;0;0;0;0;0;4;0.0;0.0;2020-2021;0
C;Kluivert;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Meite';Milan;26;5.92;6.06;1;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Arthur;Juventus;20;6.02;6.1;1;0;0;0;0;0;0;3;0.0;0.0;2020-2021;0
C;Schouten;Bologna;34;5.91;5.88;1;0;0;0;0;0;1;8;1.0;0.0;2020-2021;0
C;Agudelo;Spezia;27;5.89;6.0;1;0;0;0;0;0;2;4;0.0;0.0;2020-2021;0
C;Krunic;Milan;16;5.88;6.12;1;0;0;0;0;0;2;3;0.0;0.0;2020-2021;0
C;Bessa;Verona;13;5.96;6.08;0;0;0;0;0;0;2;1;0.0;0.0;2020-2021;0
C;Ionita;Benevento;36;5.68;5.76;2;0;0;0;0;0;0;6;0.0;0.0;2020-2021;0
C;Cristante;Roma;31;5.82;5.77;1;0;0;0;0;0;1;8;0.0;1.0;2020-2021;0
C;Zanellato;Crotone;25;5.8;5.92;1;0;0;0;0;0;1;3;0.0;0.0;2020-2021;0
C;Castillejo;Milan;24;5.88;5.92;1;0;0;0;0;0;0;5;0.0;0.0;2020-2021;0
C;Adrien Silva;Sampdoria;23;5.93;5.96;1;0;0;0;0;0;1;6;1.0;0.0;2020-2021;0
C;Sottil;Cagliari;19;6.03;6.32;2;0;0;0;0;0;1;3;0.0;0.0;2020-2021;0
C;Pereira A.;Lazio;17;5.79;5.88;1;0;0;0;0;0;2;5;1.0;0.0;2020-2021;0
C;Paqueta';Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Lerager;Genoa;16;5.75;5.81;0;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Villar;Roma;27;5.96;5.87;0;0;0;0;0;0;1;7;0.0;0.0;2020-2021;0
C;Estevez;Spezia;27;5.87;5.85;0;0;0;0;0;0;3;7;0.0;0.0;2020-2021;0
C;Leo' Sena;Spezia;15;5.93;5.93;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Cigarini;Crotone;14;5.86;5.68;0;0;0;0;0;0;0;3;1.0;0.0;2020-2021;0
C;Lulic;Lazio;16;5.88;5.84;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Sensi;Inter;16;6.0;5.91;0;0;0;0;0;0;0;1;1.0;0.0;2020-2021;0
C;Lucas Leiva;Lazio;32;5.83;5.67;0;0;0;0;0;0;0;10;0.0;0.0;2020-2021;0
C;Behrami;Genoa;21;5.95;5.88;0;0;0;0;0;0;0;1;1.0;0.0;2020-2021;0
C;Bennacer;Milan;21;5.74;5.69;0;0;0;0;0;0;1;4;0.0;0.0;2020-2021;0
C;Jony;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Rovella;Genoa;18;5.83;5.83;0;0;0;0;0;0;2;4;0.0;0.0;2020-2021;0
C;Amrabat;Fiorentina;29;5.9;5.78;0;0;0;0;0;0;0;7;0.0;0.0;2020-2021;0
C;Dominguez;Bologna;26;5.9;5.87;1;0;0;0;0;0;0;8;0.0;0.0;2020-2021;0
C;Vulic;Crotone;23;5.85;5.98;1;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Akpa Akpro;Lazio;25;5.96;5.82;0;0;0;0;0;0;1;9;0.0;0.0;2020-2021;0
C;Brunetta;Parma;11;5.95;6.27;1;0;0;0;0;0;2;3;0.0;0.0;2020-2021;0
C;Diawara;Roma;10;5.75;5.85;1;0;0;0;0;0;0;2;1.0;0.0;2020-2021;0
C;Radovanovic;Genoa;30;5.75;5.67;0;0;0;0;0;0;0;6;0.0;0.0;2020-2021;0
C;Bernardeschi;Juventus;21;5.76;5.79;0;0;0;0;0;0;2;3;0.0;0.0;2020-2021;0
C;Sturaro;Verona;15;5.77;5.77;1;0;0;0;0;0;0;6;0.0;0.0;2020-2021;0
C;Callejon;Fiorentina;15;5.83;5.9;0;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Benali;Crotone;17;5.79;5.79;0;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Duncan;Cagliari;15;5.77;5.8;0;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Baselli;Torino;10;6.0;5.9;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Fares;Lazio;21;5.76;5.69;0;0;0;0;0;0;1;5;0.0;0.0;2020-2021;0
C;Donsah;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Kragl;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Tello;Benevento;12;5.92;6.12;1;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Linetty;Torino;24;5.69;5.71;1;0;0;0;0;0;0;5;0.0;0.0;2020-2021;0
C;Melegoni;Genoa;8;6.12;6.06;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Schiattarella;Benevento;28;5.88;5.73;1;0;0;0;0;0;1;14;1.0;0.0;2020-2021;0
C;Dabo;Benevento;17;5.85;5.74;0;0;0;0;0;0;0;5;0.0;0.0;2020-2021;0
C;Jagiello;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Tonali;Milan;24;5.79;5.73;0;0;0;0;0;0;0;1;1.0;0.0;2020-2021;0
C;Obiang;Sassuolo;24;5.85;5.77;0;0;0;0;0;0;1;4;1.0;0.0;2020-2021;0
C;Gojak;Torino;11;5.73;6.05;1;0;0;0;0;0;1;1;0.0;0.0;2020-2021;0
C;Grassi;Parma;20;5.72;5.55;0;0;0;0;0;0;0;3;0.0;1.0;2020-2021;0
C;Parolo;Lazio;13;5.88;5.88;0;0;0;0;0;0;2;5;0.0;0.0;2020-2021;0
C;Poli;Bologna;10;5.95;6.0;1;0;0;0;0;0;0;1;0.0;1.0;2020-2021;0
C;Deiola;Cagliari;20;5.65;5.58;0;0;0;0;0;0;0;3;0.0;0.0;2020-2021;0
C;Leris;Sampdoria;9;5.89;5.83;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Pastore;Roma;3;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Bourabia;Sassuolo;11;5.86;6.09;1;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Bradaric F.;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Oliva;Cagliari;6;5.83;5.83;0;0;0;0;0;0;1;2;0.0;0.0;2020-2021;0
C;Escalante;Lazio;19;5.95;5.82;0;0;0;0;0;0;0;5;0.0;0.0;2020-2021;0
C;Bartolomei;Spezia;5;5.9;6.0;0;0;0;0;0;0;1;1;0.0;0.0;2020-2021;0
C;Sohm;Parma;17;5.65;5.79;1;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Makengo;Udinese;13;5.81;5.77;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Darboe;Roma;4;5.88;5.62;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Borja Valero;Fiorentina;12;5.83;5.71;0;0;0;0;0;0;0;3;0.0;0.0;2020-2021;0
C;Petriccione;Crotone;15;5.63;5.4;0;0;0;0;0;0;0;5;1.0;0.0;2020-2021;0
C;Medel;Bologna;11;5.82;5.86;0;0;0;0;0;0;1;1;0.0;0.0;2020-2021;0
C;Cataldi;Lazio;13;5.73;5.58;0;0;0;0;0;0;0;4;0.0;0.0;2020-2021;0
C;Rog;Cagliari;14;5.96;5.89;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Cassata;Genoa;5;5.9;5.7;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Danzi;Verona;2;5.5;5.25;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Frattesi;Sassuolo;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Lobotka;Napoli;5;6.0;5.8;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Portanova;Genoa;5;5.7;5.6;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Anderson D.;Lazio;2;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Agoume;Spezia;11;5.95;5.86;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Henderson L.;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Askildsen;Sampdoria;3;6.0;5.83;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Segre;Torino;5;5.8;5.7;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Eduardo Henrique;Crotone;17;5.65;5.71;1;0;0;0;0;0;0;4;0.0;0.0;2020-2021;0
C;Tramoni M.;Cagliari;2;5.75;5.75;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Rojas;Crotone;2;5.5;5.5;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Kovalenko;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Zalewski;Roma;1;6.0;7.0;0;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Khedira;Juventus;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Dezi;Parma;2;5.75;5.75;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Jajalo;Udinese;1;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
